40N||1||1||10	Книга родоводу Ісуса Христа, сина Давидового, сина Авраамового.
49N||4||18||66010	оморочені мислями, відчужені від життя Божого через невіжество, що єсть в них, через окаменїннє сердець їх.
49N||4||19||66020	Вони, зробившись безчувственними, оддали себе розпусту, щоб робити всяку нечистоту в зажерливости.
49N||4||20||66030	Ви ж не так познали Христа:
49N||4||21||66040	коли ж бо чули Його і в Йому навчились, що истина в Ісусї,
49N||4||22||66050	щоб відложити вам по першому життю давнього чоловіка, що тлїє в похотях лукавих,
49N||4||23||66060	а обновлятись духом ума вашого,
49N||4||24||66070	та й одягнутись у нового чоловіка, створеного по Богу в праведности і сьвятости правди.
49N||4||25||66080	Тим-же, відкинувши лож, говоріть правду кожен до ближнього свого; бо ми один одному члени.
49N||4||26||66090	Гнівайтесь та й не грішіть: нехай сонце не зайде у гнїві вашому.
49N||4||27||66100	Анї давайте місця дияволу.
49N||4||28||66110	Хто крав, більш не крадь, а лучче працюй, роблячи руками своїми добре, щоб мав що подати тому, хто в нуждї.
49N||4||29||66120	Всяке гниле слово нехай не виходить з уст ваших, а тільки таке, що годить ся на збудуваннє віри, щоб подало благодать тим, хто чує.
49N||4||30||66130	І не засмучуйте Духа сьвятого Божого, котрим ви запечатані в день викупу.
49N||4||31||66140	Усяка гіркість, і гнїв, і ярость, і крик, і лайка нехай зникне од вас із усїм лихим.
49N||4||32||66150	Бувайте ж один до одного добрі, милосерні, прощаючи один одному, яко ж і Бог у Христї простив вам.
49N||5||1||66160	Оце ж будьте послїдувателями Божими, як любі дїти,
49N||5||2||66170	і ходіть у любові, яко ж і Христос улюбив нас і оддав себе за нас на жертву і на посьвят Богу, у солодкі пахощі.
49N||5||3||66180	Блуд же і всяка нечистота або зажерливість нехай і не згадуеть ся між вами, як подобає сьвятим,
49N||5||4||66190	нї безсором і дурні слова, або жарти і неподобне; а лучче дякуваннє.
49N||5||5||66200	Се бо знайте, що нї один блудник, або нечистий, або зажерливий, котрий єсть ідолослужитель, не має наслїддя в царстві Христа і Бога.
49N||5||6||66210	Нехай нїхто не зводить вас марними словами, бо за се приходить гнїв Божий на синів непокірних.
49N||5||7||66220	Не бувайте ж спільниками їх.
49N||5||8||66230	Ви бо були колись тьмою, тепер же (ви) сьвітло в Господї; ходїть же яко дїта сьвітла:
49N||5||9||66240	(бо овощ духа - у всякій добрості і праведностї і правдї,)
49N||5||10||66250	доповняючись, що єсть угодне Богові.
49N||5||11||66260	І не приставайте до неплідних дїл тьми, а лучче ж винуйте їх.
49N||5||12||66270	Що бо дїєть ся потай у них, соромно й казати.
49N||5||13||66280	Усе ж обвинувачене від сьвітла виявляеть ся; все бо виявлене єсть сьвітло.
49N||5||14||66290	Того ж то глаголе: Устань, сонний, і воскресни з мертвих, то й осьвітить тебе Христос.
49N||5||15||66300	Гледїть же, як би вам огляди о ходити, не яко немудрі, а яко мудрі,
49N||5||16||66310	викуплюючи час, бо дні лихі. '
49N||5||17||66320	Тим-то не бувайте нерозумними, а розумійте, що єсть Божа воля.
49N||5||18||66330	І не впивайтесь вином, бо в йому розпуст, а сповняйте себе Духом,
49N||5||19||66340	бесідуючи між собою псальмами, та гимнами, та піснями духовними, сьпіваючи та виграючи в серцях ваших Господеві,
49N||5||20||66350	дякуючи всякого часу за все в імя Господа нашого Ісуса Христа Богові і Отцеві,
49N||5||21||66360	корючись один одному в страху Божім.
49N||5||22||66370	Жінки, коріть ся своїм чоловікам, як Господеві,
49N||5||23||66380	тим що чоловік голова жінки, як і Христос голова церкви, і Він спаситель тіла.
49N||5||24||66390	А як церква корить ся Христу, так і жінки своїм чоловікам у всьому.
49N||5||25||66400	Чоловіки, любіть своїх жінок, як і Христос полюбив церкву, і себе видав за неї,
49N||5||26||66410	щоб осьвятити її, очистивши купіллю води у слові,
49N||5||27||66420	щоб поставити її перед собою славною церквою, що не мав скази або пороку або чого такого, а щоб була сьвята і непорочна.
49N||5||28||66430	Так мусять чоловіки любити своїх жінок, як свої тіла; хто бо любить свою жінку, себе самого любить.
49N||5||29||66440	Нїхто бо ще. ніколи тіла свого не зненавидів, а годує, і грів його, яко ж і Господь церкву;
49N||5||30||66450	тим що ми члени тіла Його, від тіла Його і від костей Його.
49N||5||31||66460	Того-то покине чоловік батька свого й матір, і пригорнеть ся до жінки своєї, і будуть у двох одно тіло.
49N||5||32||66470	Тайна се велика, я ж глаголю що до Христа і до церкви.
49N||5||33||66480	Тим то і ви по одному кожен свою жінку так нехай любить, як і себе, а жінка нехай боїть ся свого чоловіка.
49N||6||1||66490	Дїти, слухайте, своїх родителїв у Господі, се бо по правді.
49N||6||2||66500	Поважай батька твого і матїр: се перва заповідь із обітуваннем:
49N||6||3||66510	щоб добре тобі було і був ти довголїтен на землї.
49N||6||4||66520	І ви, батьки, не роздразнюйте дітей своїх, а зрощуйте їх у науці і на-поминанню Господньому.
49N||6||5||66530	Слуги, слухайте панів по тілу з страхом і трепетом, у простоті серця вашого, яко ж і Христа,
49N||6||6||66540	не перед очима тільки служачи, яко чоловікоугодники, а яко слуги Христові, чинячи волю Божу од душі,
49N||6||7||66550	з охотою служачи, як Господу, а не як людям,
49N||6||8||66560	знаючи, що кожен, хто зробить що добре, прийме те від Господа, чи то невільник, чи вільний.
49N||6||9||66570	І ви, пани, робіть те ж саме їм, попускаючи їм грізьбу, знаючи, що й вам самим і їм єсть Пан на небесах, і вважання на лице нема в Него.
49N||6||10||66580	На останок, браттє моє, кріпіть ся в Господї і в потузї сили Його.
49N||6||11||66590	Одягнїть ся у всю зброю Божу, щоб змогли ви стояти проти хитрощів дияволських.
49N||6||12||66600	Бо наша боротьба не з тілом і кровю, а з князівствами, і з властями і з миродержителями тьми віка сього, з піднебесними духами злоби.
49N||6||13||66610	Того-то прийміть усю зброю Божу, щоб змогли встояти в день лютий і, все зробивши, стояти.
49N||6||14||66620	Стійте ж оце, підперезавши поясницї ваші правдою і одягнувшись у броню
49N||6||14||66630	праведности,
49N||6||15||66640	і обувши ноги в готовість благовіствування миру,
49N||6||16||66650	над усе ж узявши щит віри, котрим вдолїєте всі розпалені стріли лукавого вгасити;
49N||6||17||66660	і шолом спасення візьміть і меч. духовний, котрий єсть слово Боже.
49N||6||18||66670	Всякою молитвою і благаннєм молячись всякого часу духом і в сьому пильнуйте в усякому терпінню і благанню за всїх сьвятих,
49N||6||19||66680	і за мене, щоб мені дано слово на відкривавше уст моїх, щоб сьміливо обявляти тайну благовістя;
49N||6||20||66690	Його ж я й посел у кайданах, щоб у ньому був сьміливий, яко же подобав мені глаголати.
49N||6||21||66700	А щоб і ви знали про мене, що я роблю, усе скаже вам Тихик, любий брат і вірний слуга в Господі,
49N||6||22||66710	котрого я й послав до вас, щоб ви знали про наші справи, і щоб він утішив серця ваші.
49N||6||23||66720	Мир браттю і любов з вірою від Бога Отця і Господа Ісуса Христа.
49N||6||24||66730	Благодать з усіма, хто любить. Господа нашого Ісуса Христа в незотлїнню. Амінь.
50N||1||1||66740	Павел та Тимотей, слуги Ісуса Христа, до всїх сьвятих у Христї Ісусї, що в Филипах, з єпископами і дияконами:
50N||1||2||66750	Благодать вам і мир від Бога, Отця нашого, і Господа Ісуса Христа.
50N||1||3||66760	Дякую Богу моєму при всякому споминї про вас,
50N||1||4||66770	(завсїди в кожній молитві моїй за всїх вас з радощами молячись,)
50N||1||5||66780	за товаришуваннє ваше в благовістї від первого дня й досі,
50N||1||6||66790	впевнившись про те, що хто розпочав у вас добре діло, звершувати ме аж до дня Ісуса Христа.
50N||1||7||66800	Яко ж праведно єсть мені се думати про всїх вас, тим що маю вас у серцї і у вязницї моїй і в обороні і в утвердженню благовістя, вас усїх, спільників моїх благодати.
50N||1||8||66810	Бог бо менї сьвідок, як я люблю усїх вас по милости Ісус-Христовій.
50N||1||9||66820	І про се молюсь, щоб любов ваша ще більш та й бїльш достаткувала у розумі і у всякому чутті,
50N||1||10||66830	щоб допевнитись вам, що лучче, і щоб були чисті і непорушені в день Христа,
50N||1||11||66840	сповнені овощами праведности через Ісуса Христа на славу й хвалу Божу.
50N||1||12||66850	Хочу ж, щоб ви, браттє, зрозуміли, що те, що сталось менї, більш на користь благовістя вийшло,
50N||1||13||66860	так що кайдани мої в Христї обявились у всьому судищі і по всїх инших (місцях),
50N||1||14||66870	і більше братів у Господї, упевнившись кайданами моїми, ще більш осьмілились без страху глаголати слово.
50N||1||15||66880	Деякі з зависти та перекору, а инші з доброї волї проповідують Христа.
50N||1||16||66890	Инші з перекору проповідують Христа, не щиро, думаючи завдати горя кайданам моїм,
50N||1||17||66900	а другі з любови, знаючи, що я за оборону благовістя (в кайданах) лежу.
50N||1||18||66910	Що ж бо? тільки все таки, чи для виду, чи по правді, Христос проповідуєть ся; і я сим радуюсь і радувати мусь.
50N||1||19||66920	Знаю бо, що се обернеть ся на моє спасенне вашою молитвою і поміччю Духа Ісус-Христового,
50N||1||20||66930	по дожиданню і надїї моїй, що нї в чому не осоромлюсь, а з усією сьміливостю, як завсїди, так і тепер звеличить ся Христос у тїлї моїм, чи то життем, чи то смертю.
50N||1||21||66940	Бо життє менї Христос, а смерть надбанне.
50N||1||22||66950	Коли ж жити менї тілом, се минї овощ дїла, то що й вибрати, не знаю.
50N||1||23||66960	Тісно бо менї від обох, маючи бажаннє розвязатись (із тілом), та з Христом бути; багато бо воно лучче.
50N||1||24||66970	А щоб пробувати в тїлї, се нужнїш ради вас.
50N||1||25||66980	І певно знаю, що зістанусь (у тїлї) і пробувати му з усїма вами на вашу користь і радість віри,
50N||1||26||66990	щоб ваша похвала много достаткувала в Христї Ісусї, як прийду знов до вас.
50N||1||27||67000	Тільки достойно благовістя Христового живіть, щоб, чи я прийду та побачу вас, чи то й не буду між вами, почув про вас, що стоїте в одному дусї, і однією душею боретесь за віру євангелську,
50N||1||28||67010	і не жахаючись нї в чому від противників; се їм явний знав погибелі, а вам спасення, і воно від Бога.
50N||1||29||67020	Бо вам дано, що до Христа, не тільки в Него вірувати, та задля Него й страждати,
50N||1||30||67030	маючи ту ж боротьбу, яку в менї виділи, і тепер чуєте про мене.
50N||2||1||67040	Коли ж оце (є) утїшеннв в Христї, або яка одрада любови, коли (є) яка спільність духа, коли (є) яка милость і милосерде,
50N||2||2||67050	то сповніть мою радість, щоб однаково думали, одну любов маючи, один дух і один розум.
50N||2||3||67060	Нїчого (не роблячи) перекором або з марної слави; а смирним розумом один одного вважаючи більшим себе.
50N||2||4||67070	Не про своє кожен, а також про другого (справи) кожен дбайте.
50N||2||5||67080	Так бо нехай думаєть ся у вас, як і в Христї Ісусї,
50N||2||6||67090	котрий, бувши в образї Божому, не вважав хижацтвом бути рівним Богу;
50N||2||7||67100	тільки ж умалив себе, прийнявши вид слуги, бувши в подобиї чоловічому,
50N||2||8||67110	і здававшись видом, яко чоловік, принизив себе, бувши слухняним аж до смерти, смерти ж хрестної.
50N||2||9||67120	Тимже і Бог Його високо вознїс, і дав Йому імя, більше всякого імени,
50N||2||10||67130	щоб в імя Ісусове приклонилось усяке колїно, що на небі, і на землї, і під землею,
50N||2||11||67140	і щоб усякий язик визнавав, що Господь Ісус Христос у славу Бога Отця.
50N||2||12||67150	Тимже, любі мої, яко ж завсїди слухали ви мене, не тільки як се за мого побиту між вами, а й тепер ще більш за моїм непобитом, із страхом і трепетом про своє спасенне дбайте.
50N||2||13||67160	Бог бо се робить у вас, щоб і хотїти (вам) і робити по (Його) вподобі.
50N||2||14||67170	Усе робіть без нарекання і розбирання,
50N||2||15||67180	щоб ви були безвинними і чистими, дїтьми Божими непорочними серед лукавого і розворотного роду, що між ними ви сиявте як сьвітила в сьвітї,
50N||2||16||67190	держачи (перед ними) слово життя, на похвалу менї в день Христів, що не дурно ходив я, ані дурно працював.
50N||2||17||67200	Та хоч і приносять мене в жертву і служенне віри вашої, я (тим) радуюсь і веселюсь із усїма вами.
50N||2||18||67210	Тим же самим і ви радуйтесь і веселїть ся зо мною.
50N||2||19||67220	Уповаю ж в Господї Ісусї незабаром послати до вас Тимотея, щоб і менї радїти душею, довідавшись про вас.
50N||2||20||67230	Нікого бо не маю рівного (йому) душею, щоб (так) щиро дбав про вас.
50N||2||21||67240	Усї бо свого шукають, а не Ісус-Христового.
50N||2||22||67250	Ви ж досьвід його знаєте; тим, що як батькові дитина, так він служив зо мною в благовістї.
50N||2||23||67260	Сього ж оце надїюсь послати зараз, скоро тільки довідаюсь, як воно буде зо мною.
50N||2||24||67270	Маю ж надїю в Господї, що й сам скоро прийду.
50N||2||25||67280	Вважав же я потрібним послати до вас Єпафродита, брата й товариша мого в працї і боротьбі, а вашого посла й слугу в потребі моїй.
50N||2||26||67290	Яко ж бо жадав (бачити) всїх вас і тужив тим, що ви чули, що він нездужав.
50N||2||27||67300	Бо й нездужав мало що не до смерти, та Бог помилував його; не його ж тільки, та й мене, щоб не було менї смутку на смуток.
50N||2||28||67310	Оце я? скоріш; послав я його, щоб ви, побачивши його знов, зрадїли, та й я меньше мав смутку.
50N||2||29||67320	Прийміть же оце його в Господї з усякими радощами, і таких держіть у повазї,
50N||2||30||67330	тим що він за дїло Христове був близько смерти, не дбаючи про своє життє, аби сповнити недостаток служення вашого менї.
50N||3||1||67340	На останок, браттє моє, радуйтесь у Господї. Те ж саме писати вам менї не противно, для вас же певно.
50N||3||2||67350	Остерегайтесь собак, остерегайтесь лихих робітників, остерегайтесь відрізання.
50N||3||3||67360	Ми бо обрізаннє, которі духом Богу служимо, і хвалимось в Ісусї Христї, а не в тїлї надіємось,
50N||3||4||67370	хоч і я маю також надїю в тїлї. Коли хто инший думає надіятись у тїлї, то я тим більш,-
50N||3||5||67380	обрізаний восьмого дня, з роду Ізраїлевого, з колїна Веняминового, Євреїн з Євреїв, по закону Фарисей,
50N||3||6||67390	по ревности гонив я церкву, по праведности законній непорочен.
50N||3||7||67400	Та що було менї надбаннєм, те вважав я за втрату ради Христа.
50N||3||8||67410	Так оце я все вважаю за втрату ради вищого розуміння Христа Ісуса, Господа мого, ради котрого я все втеряв, і вважаю все за сьміттє, аби придбати Христа,
50N||3||9||67420	та й явитись у Ньому, не маючи моєї праведности, що від закону, а (маючи) ту, що вірою Христовою (здобуваєть ся), праведність від Бога увірі,
50N||3||10||67430	іцоб зрозуміти Його, і силу воскресення Його, і спільність мук Його, приподоблюючись смерти Його,
50N||3||11||67440	аби тільки достигнути до воскресення мертвих.
50N||3||12||67450	Не тим, щоб уже я достиг, або вже був звершений; гоню ж, чи не достигну того, за що і Христос Ісус достиг мене.
50N||3||13||67460	Браттє, я про себе не думаю, що я вже достиг; одно ж (роблю), забуваючи вже те що позаду, і сягаючи по те, що спереду,
50N||3||14||67470	біжу до мети по нагороду вишнього поклику Божого в Христї Ісусї.
50N||3||15||67480	Скільки оце (нас) звершених, се думаймо, і коли що инакше думаєте, то й се Бог вам одкриє.
50N||3||16||67490	Тільки ж (те), до чого ми достигли, (єсть) одним правилом жити і те саме думати.
50N||3||17||67500	Приподоблюйтссь до мене, браттє, і вважайте, хто так ходить, яко ж маєте за взір нас.
50N||3||18||67510	(Многі бо ходять, про котрих не раз говорив я вам, тепер же й плачучи говорю, про ворогів хреста Христового,
50N||3||19||67520	котрим кінець - погибель, котрим Бог черево, а слава в соромі їх, котрі про земне думають.)
50N||3||20||67530	Наше бо життє єсть на небесах, звідкіля ждемо і Спасителя, Господа нашого Ісуса Христа, котрий переобразить тіло смирення нашого, щоб було подобне тїлу слави Його, по дійству, котрим зможе і покорити собі все.
50N||4||1||67540	Тим же, браттє моє любе й жадане, радосте і вінче мій, стійте так у Господї, любі.
50N||4||2||67550	Благаю Єводию, благаю і Синтихию, щоб однаково думали в Господї.
50N||4||3||67560	Благаю й тебе, щирий товаришу, помагай їм, що працювали в благовіствуванню зо мною, і з Климентом, і з иншими помічниками моїми, котрих імення в книзі життя.
50N||4||4||67570	Радуйте ся завсїди в Господї, і знов кажу: радуйте ся.
50N||4||5||67580	Тихість вашу нехай зрозуміють усї люде. Господь близько.
50N||4||6||67590	Не журіть ся нїчим, а у всьому молитвою і благаннєм з подякою нехай обявляють ся прошення ваші перед Богом.
50N||4||7||67600	І мир Божий, що вище всякого розуму, нехай хоронить серця ваші і мислї ваші в Христї Ісусї.
50N||4||8||67610	На останок, браттє, що правдиве, що чесне, що праведне, що чисте, що любе, що хвалебне, коли (в в чому) яка чеснота й коли (є) яка похвала, про се помишляйте.
50N||4||9||67620	Чого ви і навчились, і прийняли, й чували, й видали в менї, те чиніть, то Бог миру буде з вами.
50N||4||10||67630	Зрадів же я в Господї вельми, що вже раз згадали дбати про мене; ви ж бо й дбали, та не мали догідного часу.
50N||4||11||67640	Не задля недостатку глаголю; я бо навчивсь, що маю, тим і вдовольнятись.
50N||4||12||67650	Умію і смирити ся, умію й достаткувати; усюди й у всьому навчивсь і насищати ся, й голодувати, й достаткувати й недостаток терпіти.
50N||4||13||67660	Все здолїю в Христї, що мене покрепляє.
50N||4||14||67670	Одначе добре ви зробили, що приймаєте участь у моєму горю.
50N||4||15||67680	Знаєте ж і ви, Филипяне, що в почині благовіствування, як вийшов я з Македониї, нї одна церква не пристала до мене що до давання й приймання, тільки ви одні.
50N||4||16||67690	Бо й в Солунь раз і вдруге прислали ви на мою потріб.
50N||4||17||67700	Не то щоб я шукав дару, а шукаю овощу, що намножуеть ся на користь вашу.
50N||4||18||67710	Прийняв же я все і достаткую. Сповнив ся, прийнявши від Єпафродита послане од вас, солодкі пахощі, жертву приятну, угодну Богу.
50N||4||19||67720	Бог же мій нехай сповнить усяку потріб вашу, по багацтву своєму в славі, в Хриетї Ісусї.
50N||4||20||67730	Богу ж і Отцеві нашому слава на віки вічні. Амінь.
50N||4||21||67740	Витайте всякого сьвятого в Христї Ісусї. Витають вас брати, що зо мною.
50N||4||22||67750	Витають вас усї сьвяті, а найбільш которі з кесаревого дому.
50N||4||23||67760	Благодать Господа нашого Ісуса Христа з усіма вами. Амінь.
51N||1||1||67770	Павел, апостол Ісус-Христа волею Божою, та Тимотей брат,
51N||1||2||67780	до сьвятих і вірних братів у Христї, що в Колосах: Благодать вам і мир од Бога, Отця нашого, і Господа Ісуса Христа.
51N||1||3||67790	Дякуємо Богу й Отцеві Господа нашого Ісуса Христа, молячись всякого часу за вас,
51N||1||4||67800	почувши про віру вашу в Христї Ісусї і любов, що маєте до всїх сьвятих,
51N||1||5||67810	задля надії, що зложена для вас на небесах, про яку ви чували перше в слові правди благовіствування,
51N||1||6||67820	що прийшло до вас, яко ж і до всього сьвіта, і дав овощ, яко ж і в вас, від того дня, як ви почули і зрозуміли благодать Божу в правдї,
51N||1||7||67830	яко ж і навчились од Єпафра, любого нашого товариша слуги, котрий єсть вірний служитель Христів, за вас,
51N||1||8||67840	котрий і явив нам вашу любов у дусї.
51N||1||9||67850	Того-то й ми, від того дня, як почули, не перестаємо за вас молитись і просити, щоб ви сповнились розуміннєм волї Його у всякій премудрости і розумі духовному,
51N||1||10||67860	щоб ходити вам достойно перед Господом у всякому догоджуванню, і у всякому доброму дїлї приносячи овощ і ростучи в розумінню Бога,
51N||1||11||67870	кріпшаючи усякою силою по потузї слави Його на всяке видержуваннє і довготерпінне з радощами,
51N||1||12||67880	дякуючи Отцеві, котрий зробив нас достойними спільности в наслїд-дю сьвятих у сьвітлї,
51N||1||13||67890	котрий збавив нас од власти тьми і перенїс у царство Сина любови своєї,
51N||1||14||67900	в котрому маємо викуп кровю Його і прощенне гріхів.
51N||1||15||67910	Котрий єсть образ невидомого Бога, перворідень усякого творива.
51N||1||16||67920	Бо Ним сотворене все, що на небесах і що на землї, видиме й невидиме, чи престоли, чи панства, чи князівства, чи власті, - все Ним і для Него сотворене.
51N||1||17||67930	Він єсть перш усього, і все в Ньому стоїть.
51N||1||18||67940	І Він голова тїлу і церкві. Він початок, перворідень з мертвих, щоб у всьому Йому передувати.
51N||1||19||67950	Бо зволив (Отець), щоб у Ньому вселилась уся повня,
51N||1||20||67960	і щоб через Него поєднати все з собою, примиривши кровю хреста Його, через Него, чи то земне, чи то небесне.
51N||1||21||67970	І вас, що були колись відчуженими і ворогували думкою у лукавих ділах, тепер же примирив
51N||1||22||67980	у тїлї плоти Його смертю, щоб поставити вас сьвятими и непорочними й неповинними перед собою,
51N||1||23||67990	коли оце пробуваєте в вірі основані і тверді, і неподвижимі в упованнї благовістя, котре чули проповідуване усьому твориву піднебесному, котрому став я Павел служителем.
51N||1||24||68000	Тепер радуюсь у страданнях моїх за вас, і доповняю недостаток горювання Христового у тїлї моїм (смертному) за тіло Його, котре єсть церква,
51N||1||25||68010	котрої став я слугою по доморядництву Божому, даному мені про вас, щоб сповнити слово Боже,
51N||1||26||68020	тайну закриту од віків і од родів, тепер же явлену сьвятим Його,
51N||1||27||68030	котрим Бог зводив обявити, яке багацтво слави тайни сієї між поганами, котре всть Христос в вас, надїя слави,
51N||1||28||68040	котрого ми проповідуємо, наставляючи кожного чоловіка всякої премудроети, щоб нам представити кожного чоловіка звершеного в Христї Ісусї
51N||1||29||68050	У чому й працюю, воюючи силою Його, що орудує в мені потужно.
51N||2||1||68060	Хочу оце, щоб ви знала, яку велику боротьбу маю за вас і за Лаодичан і за тих, що не бачили обличчя мого в тїлї,
51N||2||2||68070	щоб утішились серця їх, з'єднавшись у любові і на всяке багацтво повної певности розуму на познанве тайни Бога і Отця і Христа,
51N||2||3||68080	в котрому всї скарби премудрости і розуму заховані.
51N||2||4||68090	Се ж глаголю, щоб хто не обманив вас у суперечках,
51N||2||5||68100	бо хоч я тїлом і оддалеки, та духом з вами, радуючись і дивлячись на ваш порядок і утвердженнє віри вашої в Христа.
51N||2||6||68110	Оце ж, як прийняли ви Христа Ісуса Господа, так і ходіть у Ньому,
51N||2||7||68120	вкоренившись і збудувавшись у Ньому і впевнившись вірою, так як навчились, достаткуючи в нїй з дякуваннєм.
51N||2||8||68130	Гледїть, щоб хто не пожакував вас философиєю і марним підступом, по переказу людському, по первотинам сьвіта, а не по Христу
51N||2||9||68140	Бо в Ньому живе вся повня Божества тїлесно
51N||2||10||68150	І ви сповдені в Ньому: бо Він голова всякому князівству і власті.
51N||2||11||68160	В котрому ви й обрізані обрізаннєм нерукотворним, скинувши тіло гріхів тїлесних в обрізанні Христовому,
51N||2||12||68170	погрібшись із Ним крещеннєм, і в котрому і встали вірою в силу Бога, котрий воскресив Його з мертвих.
51N||2||13||68180	І вас, що були мертві в провинах і в необрізанню тіла вашого, оживив з Ним, простивши вам усї провини,
51N||2||14||68190	знищивши рукописаннє наукою, що була проти нас, і взяв Його з середини, прибивши на хресті,
51N||2||15||68200	(і) роздягти князівства і власти, вивів на дивовижу сьмілпво, побідивши їх на йому
51N||2||16||68210	Нехай же оце нїхто не судить вас за їжу або за напиток, або поглядом сьвят, або нового місяца, або суботи.
51N||2||17||68220	Се тїнь того, що настане, тїло ж - Христове.
51N||2||18||68230	Нїхто ж нехай не обманює вас, будучи самовільним у покорі і службі ангелській і вдаючись у те, чого не бачив, марно надимаючись умом тіла свого,
51N||2||19||68240	а не держачись Голови, від котрого все тїло, суставами і повязями запоможене і звязане, росте зростом Божим.
51N||2||20||68250	Коли ж оце ви вмерли з Христом для первотин сьвіта, то чого мов би ще живі в сьвітї, про закон суперечитесь
51N||2||21||68260	(не займай, анї вкуси, анї доторкуй ся),
51N||2||22||68270	що все на погибель через надужиток по заповідям і наукам людським?
51N||2||23||68280	Воно має вид премудрости в самовольній службі і покорі і непощадї тїла, (а) не у шанобі до ситости тїла.
51N||3||1||68290	Коли ж оце воскресли ви з Христом, то гірнього шукайте, де Христос сидить по правиці в Бога.
51N||3||2||68300	Про гірнє думайте, (а) не про земне.
51N||3||3||68310	Умерли бо ви, і життє ваше поховане з Христом у Бозї.
51N||3||4||68320	Коли ж Христос, життє ваше, явить ся, тодї і ви з Ним явитесь у славі.
51N||3||5||68330	Оце ж умертвіть члени ваші, що на землї: блуд, нечистоту, страсть,по-хоть лиху, зажерливість, котра єсть ідолослуженнє,
51N||3||6||68340	за се йде гаїв Божий на синів неслухняности,
51N||3||7||68350	між котрими і ви колись ходили, як жили між ними.
51N||3||8||68360	Тепер же покиньте й ви те все: гнїв, ярость, злобу, лайку, соромні слова од уст ваших.
51N||3||9||68370	Не кривіть словом один проти одного, скинувши з себе давнього чоловіка з ділами його,
51N||3||10||68380	і одягнувшись у нового, що обновляєть ся в розумі по образу Того, хто сотворив його,
51N||3||11||68390	де нема Грека, нї Жидовина, обрізання і необрізання, чужоземця і Скита, невільника й вільного, а все й у всьому Христос.
51N||3||12||68400	Одягніть ся ж оце, яко вибрані Божі, сьвяті і любі, в милость милосердя,$$
51N||3||12||68410	смирність, тихість і довготерпіннє,
51N||3||13||68420	терплячи один одного й прощаючи собі, коли хто на кого має жаль; яко ж і Христос простив вам, так і ви.
51N||3||14||68430	Над усім же сим любов, котра єсть союз звершення,
51N||3||15||68440	і мир Божий нехай править в серцях ваших, до котрого вас і покликано в одному тїлї, та й будьте вдячні.
51N||3||16||68450	Слово Христове нехай вселяєть ся в вас, багате на всяку премудрість, навчаючи і наставляючи самих себе псальмами та гимнами, та піснями духовними, у благодаті сьпіваючи в серцю вашому Господеві.
51N||3||17||68460	І все, що нї робите словом або ділом, усе в імя Господа Ісуса, дякуючи Богу й Отцеві через Него.
51N||3||18||68470	Жінки, коріть ся своїм чоловікам, яко ж подобає в Господї.
51N||3||19||68480	Чоловіки, любіть жінок і не бувайте гіркими до них.
51N||3||20||68490	Дїти, слухайте родителїв у всьому, се бо угодно Господеві.
51N||3||21||68500	Батьки, не роздражнюйте дітей ваших, щоб не внивали.
51N||3||22||68510	Слуги, слухайте у всьому панів по тілу, не перед очима тільки служачи, яко чоловіковгодники, а в простоті серця, боячись Бога;
51N||3||23||68520	і все, що робите, від душі робіть, яко ж Господу, а не людям,
51N||3||24||68530	знаючи, що від Бога приймете нагороду наслїддя; Господу бо Хриету служите.
51N||3||25||68540	А хто кривдить, прийме у чому скривдив, і нема вважання на лице (в Бога).
51N||4||1||68550	Панове, оддавайте слугам правду і рівноту, знаючи, що й ви маєте Господа на небесах.
51N||4||2||68560	В молитві кріпіть ся, пильнуюча в ній з подякою,
51N||4||3||68570	молячись разом і за нас, щоб Бог відчинив нам двері слова, проглаго-лати тайну Христову, за котру я і в кайданах,
51N||4||4||68580	щоб явив я її, як подобає мені глаголати.
51N||4||5||68590	У премудростї ходіть перед тими, що осторонь, викупляючи час.
51N||4||6||68600	Слово ваше нехай буде завсїди ласкаве, приправлене сіллю, щоб знали ви, як кожному відказувати.
51N||4||7||68610	.Що дїєть ся зо мною, про все скаже вам Тихик, любий брат і вірний служитель і слуга-товариш у Господї,
51N||4||8||68620	котрого післав я до вас на те, щоб довідавсь, що з вами дїєть ся, і утїшити серця ваші,
51N||4||9||68630	з Онисимом, вірним і любим братом нашим, котрий з між вас: все вони скажуть вам, що тут (дїєть ся).
51N||4||10||68640	Витає вас Аристарх, товариш мій у неводі, та Марко, сестринець Варнави (про нього маєте наказ: як прийде до вас, прийміть його),
