40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
47N||8||2||57900	Que en grande prueba de tribulacion la abundancia de su gozo y su profunda pobreza abundaron en riquezas de su bondad.
47N||8||3||57910	Pues de su grado [han dado] conforme á [sus] fuerzas, yo testifico, y aun sobre [sus] fuerzas;
47N||8||4||57920	Pidiéndonos con muchos ruegos, que aceptásemos la gracia y la comunicacion del servicio para los santos.
47N||8||5||57930	Y no como [lo] esperábamos, mas aun á sí mismos se dieron primeramente al Señor, y á nosotros por la voluntad de Dios.
47N||8||6||57940	De manera que exhortamos á Tito que como comenzó ántes, así tambien acabe esta gracia entre vosotros tambien.
47N||8||7||57950	Por tanto, como en todo abundais, en fé, y en palabra, y [en] ciencia, y en toda solicitud, y [en] vuestro amor para con nosotros, que tambien abundeis en esta gracia.
47N||8||8||57960	No hablo como quien manda, sino para poner á prueba por la eficacia de otros, la sinceridad tambien de la caridad vuestra.
47N||8||9||57970	Porque ya sabeis la gracia de nuestro Señor Jesu-Cristo, que por amor de vosotros se hizo pobre, siendo rico; para que vosotros con su pobreza fueseis enriquecidos. 
47N||8||10||57980	Y en esto doy [mi] consejo: porque esto os conviene á vosotros, que comenzasteis ántes, no solo á hacerlo, mas aun a querer lo desde el año pasado. 
47N||8||11||57990	Ahora pues, llevad tambien á cabo el hecho: para que como [estuvisteis] prontos á querer, así tambien [lo esteis] en cumplir conforme á lo que teneis. 
47N||8||12||58000	Porque si primero hay la voluntad pronto, será acepta por lo que tiene, no por lo que no tiene. 
47N||8||13||58010	Porque no [se hace esto] para que haya para otros desahogo, y para vosotros apretura; 
47N||8||14||58020	Sino para que en este tiempo, con igualdad, vuestra abundancia supla la falta de ellos, para que tambien la abundancia de ellos supla vuestra falta; porque haya igualdad, 
47N||8||15||58030	Como está escrito: El que [recogió] mucho, no tuvo más; y el que poco, no tuvo ménos. 
47N||8||16||58040	Empero gracias á Dios que dió la misma solicitud por vosotros en el corazon de Tito. 
47N||8||17||58050	Pues á la verdad recibió la exhortacion; mas estando tambien muy solícito, de su voluntad partió para vosotros. 
47N||8||18||58060	Y enviamos juntamente con él al hermano, cuya alabanza en el Evangelio [es] por todas las iglesias. 
47N||8||19||58070	Y no solo [esto,] mas tambien fué ordenado por las iglesias el compañero de nuestra peregrinacion para [llevar] esta gracia, que es administrada de nosotros para gloria del mismo Señor, y [para servir] vuestro pronto ánimo, 
47N||8||20||58080	Evitando que nadie nos vitupere en esta abundancia que ministramos: 
47N||8||21||58090	Procurando las cosas honestas, no solo delante del Señor, mas aun delante de los hombres. 
47N||8||22||58100	Enviamos tambien con ellos á nuestro hermano, al cual muchas veces hemos experimentado diligente; mas ahora mucho más con la mucha confianza que [tenemos] en vosotros. 
47N||8||23||58110	Ora en órden á Tito, mi compañero y coadjutor para con vosotros, ó [acerca de] nuestros hermanos, los mensajeros [son] de las iglesias, [y] la gloria de Cristo. 
47N||8||24||58120	Mostrad pues para con ellos á la faz de las iglesias la prueba de vuestro amor, y de nuestra gloria acerca de vosotros.
47N||9||1||58130	PORQUE cuanto á la suministracion para los santos, por demás me es escribiros;
47N||9||2||58140	Pues conozco vuestro pronto ánimo, del cual me glorío yo entre los de Macedonia, que Achaia está apercibida desde el año pasado; y vuestro ejemplo ha estimulado á muchos.
47N||9||3||58150	Mas he enviado los hermanos, porque nuestra gloria de vosotros no sea vana en esta parte; para que, como lo he dicho, esteis apercibidos:
47N||9||4||58160	No sea que, si vinieren conmigo Macedonios, y os hallaren desapercibidos, nos avergoncemos nosotros, por no decir vosotros, de este firme gloriarnos.
47N||9||5||58170	Por tanto tuve por cosa necesaria exhortar á los hermanos que fuesen primero á vosotros, y apresten primero vuestra bendicion ántes prometida, para que esté aparejada como [de] bendicion, y no como [de] mezquindad.
47N||9||6||58180	Esto empero [digo:] El que siembra escasamente, tambien segará escasamente; y el que siembra en bendiciones, en bendiciones tambien segará.
47N||9||7||58190	Cada uno [dé] como propuso en su corazon: no con tristeza, ó por necesidad porque Dios ama al dador alegre.
47N||9||8||58200	Y poderoso es Dios para hacer que abunde en vosotros toda gracia; á fin que, teniendo siempre en todas [cosas] todo lo que basta, abundeis para toda buena obra:
47N||9||9||58210	(Como está escrito: Derramó; dió á los pobres: su justicia permanece para siempre. 
47N||9||10||58220	Y el que da simiente al que siembra, tambien dará pan para comer, y multiplicará vuestra sementera, y aumentará los crecimientos de los frutos de vuestra justicia;) 
47N||9||11||58230	Para que esteis enriquecidos en todo para toda bondad, la cual obra por nosotros hacimiento de gracias á Dios. 
47N||9||12||58240	Porque la suministracion de este servicio no solamente suple lo que á los santos falta, sino tambien abunda en muchos hacimientos de gracias á Dios: 
47N||9||13||58250	Que por la experiencia de esta suministracion glorifican á Dios por la obediencia que profesais al Evangelio de Cristo, y por la bondad de contribuir para ellos y para todos: 
47N||9||14||58260	Asimismo por la oracion de ellos á favor vuestro, los cuales os quieren á causa de la eminente gracia de Dios en vosotros. 
47N||9||15||58270	Gracias [sean dadas] á Dios por su don inefable.
47N||10||1||58280	EMPERO, yo Pablo os ruego por la mansedumbre y modestia de Cristo ([yo] que presente ciertamente [soy] bajo entre vosotros; mas ausente soy confiado con vosotros:)
47N||10||2||58290	Ruego, pues, que cuando estuviere presente, no tenga que ser atrevido con la confianza con que estoy en animo de ser resuelto para con algunos, que nos tienen como si anduviésemos segun la carne.
47N||10||3||58300	Pues aunque andamos en la carne, no militamos segun la carne:
47N||10||4||58310	Porque las armas de nuestra milicia no [son] carnales; sino poderosas en Dios para la destruccion de fortalezas;
47N||10||5||58320	Destruyendo consejos, y toda altura que se levanta contra la ciencia de Dios, y cautivando todo intento á la obediencia de Cristo;
47N||10||6||58330	Y estando prestos para castigar toda desobediencia, cuando vuestra obediencia fuere cumplida.
47N||10||7||58340	¿Mirais las cosas segun la apariencia? Si alguno está confiado en sí mismo que es de Cristo, esto tambien piense por sí mismo, que como él [es] de Cristo, así tambien nosotros [somos] de Cristo.
47N||10||8||58350	Porque aunque me gloríe aun un poco de nuestra potestad, (la cual el Señor nos dió para edificacion, y no para vuestra destruccion,) no me avergonzaré.
47N||10||9||58360	[Dígolo] porque no parezca como que os [quiero] espantar por cartas. 
47N||10||10||58370	Porque á la verdad, dicen, las cartas [son] graves y fuertes; mas la presencia corporal flaca, y la palabra menospreciable. 
47N||10||11||58380	Esto piense el tal, que cuales somos en la palabra por cartas, estando ausentes, tales [serémos] tambien en hechos, estando presentes. 
47N||10||12||58390	Porque no osamos entremeternos ó compararnos con algunos que se alaban á sí mismos: mas [ellos,] midiéndose á sí mismos por sí mismos, y comparándose consigo mismos, no son juiciosos. 
47N||10||13||58400	Nosotros empero no nos gloriarémos fuera de [nuestra] medida, sino conforme á la medida de la regla, de la medida que Dios nos repartió, para llegar aun hasta vosotros. 
47N||10||14||58410	Porque no nos extendemos sobre [nuestra medida,] como si no llegásemos hasta vosotros; porque tambien hasta vosotros hemos llegado en el Evangelio de Cristo: 
47N||10||15||58420	No gloriándonos fuera de [nuestra] medida en trabajos ajenos; mas teniendo esperanza del crecimiento de vuestra fé, que serémos muy engrandecidos entre vosotros conforme á nuestra regla, 
47N||10||16||58430	Y que anunciarémos el Evangelio en los [lugares] más allá de vosotros, sin [entrar en] la medida de otro para gloriarnos en lo que [ya] estaba aparejado. 
47N||10||17||58440	Mas el que se gloría, gloríese en el Señor. 
47N||10||18||58450	Porque no el que se alaba á sí mismo, el tal es aprobado; mas aquel á quien Dios alaba.
47N||11||1||58460	OJALÁ toleraseis un poco mi locura; empero toleradme.
47N||11||2||58470	Pues que os celo con celo de Dios; porque os he desposado á un marido, para presentaros [como] una vírgen pura á Cristo.
47N||11||3||58480	Mas temo que como la serpiente engañó á Eva con su astucia, sean corrompidos así vuestros sentidos en alguna manera, [y caigan] de la simplicidad que es en Cristo.
47N||11||4||58490	Porque si el que viene, predicare otro Cristo que el que hemos predicado, ó recibiereis otro espíritu del que habeis recibido, ú otro evangelio del que habeis aceptado, [lo] sufrierais bien.
47N||11||5||58500	[Cuanto á mí,] cierto pienso que en nada he sido inferior á aquellos grandes apóstoles.
47N||11||6||58510	Porque aunque [soy] basto en palabra, empero no en la ciencia; mas en todo somos ya del todo manifiestos á vosotros.
47N||11||7||58520	¿Pequé yo humillándome á mí mismo, para que vosotros fueseis ensalzados, porque os he predicado el Evangelio de Dios de balde?
47N||11||8||58530	He despojado las otras iglesias, recibiendo salario para ministraros á vosotros.
47N||11||9||58540	Y estando con vosotros, y teniendo necesidad, á ninguno [de vosotros] fuí carga: porque lo que me faltaba, suplieron los hermanos que vinieron de Macedonia: y en todo me guardé de seros gravoso, y me guardaré. 
47N||11||10||58550	Es la verdad de Cristo en mí, que esta gloria no me será cerrada en las partes de Achaia. 
47N||11||11||58560	¿Por qué? [es] porque no os amo? Dios lo sabe. 
47N||11||12||58570	Mas lo que hago, haré aun para cortar la ocasion de aquellos que la desean, á fin que en aquello que se glorían, sean hallados semejantes á nosotros. 
47N||11||13||58580	Porque estos [son] falsos apóstoles, obreros fraudulentos, transfigurándose en apóstoles de Cristo. 
47N||11||14||58590	Y no [es] maravilla; porque el mismo Satanás se transfigura en ángel de luz. 
47N||11||15||58600	Así que no [es] mucho, si tambien sus ministros se transfiguran como ministros de justicia; cuyo fin será conforme á sus obras. 
47N||11||16||58610	Otra vez digo: Que nadie me estime ser loco; de otra manera, recibidme como á loco, para que aun me gloríe yo un poquito. 
47N||11||17||58620	Lo que hablo, no lo hablo segun el Señor, sino como en locura, con esta confianza de gloria. 
47N||11||18||58630	Pues que muchos se glorían segun la carne, tambien yo me gloriaré. 
47N||11||19||58640	Porque de buena gana tolerais los necios, siendo vosotros sabios: 
47N||11||20||58650	Porque tolerais si alguno os pone en servidumbre, si alguno [os] devora, si alguno toma, si alguno se ensalza, si alguno os hiere en la cara. 
47N||11||21||58660	Dígolo cuanto á la afrenta, como si nosotros hubiésemos sido flacos. Empero en lo que otro tuviere osadía (hablo con locura) tambien yo tengo osadía. 
47N||11||22||58670	¿Son Hebréos? yo tambien. ¿Son Israelitas? yo tambien. ¿Son simiente de Abraham? tambien yo. 
47N||11||23||58680	¿Son ministros de Cristo? (como poco sabio hablo) yo más: en trabajos más abundante; en azotes sin medida; en cárceles, más; en muertes, muchas veces. 
47N||11||24||58690	De los Judíos cinco veces he recibido cuarenta [azotes] ménos uno. 
47N||11||25||58700	Tres veces he sido azotado con varas; una vez apedreado; tres veces he padecido naufragio; una noche y un dia he estado en lo profundo [de la mar.] 
47N||11||26||58710	En caminos muchas veces; peligros de rios, peligros de ladrones, peligros de los de [mi] nacion, peligros de los Gentiles, peligros en la ciudad, peligros en el desierto, peligros en la mar, peligros entre falsos hermanos; 
47N||11||27||58720	En trabajo y fatiga, en muchas vigilias, en hambre y sed, en muchos ayunos, en frio y en desnudez; 
47N||11||28||58730	Sin [otras] cosas además, lo que sobre mí se agolpa cada dia, la solicitud de todas las iglesias. 
47N||11||29||58740	¿Quién enferma, y [yo] no enfermo? ¿Quién se escandaliza, y yo no me quemo? 
47N||11||30||58750	Si es menester gloriarse, me gloriaré yo de lo que es de mi flaqueza. 
47N||11||31||58760	El Dios y Padre del Señor nuestro Jesu-Cristo, que es bendito por siglos, sabe que no miento: 
47N||11||32||58770	En Damasco, el gobernador de la provincia del rey Aretas guardaba la ciudad de los Damascenos para prenderme: 
47N||11||33||58780	Y fuí descolgado del muro en un seron por una ventana, y escapé de sus manos.
47N||12||1||58790	CIERTO no me es conveniente gloriarme; mas vendré á las visiones y á las revelaciones del Señor.
47N||12||2||58800	Conozco á un hombre en Cristo, que hace catorce años (si en el cuerpo, no [lo] sé; si fuera del cuerpo, no [lo] sé; Dios [lo] sabe) fué arrebatado hasta el tercer cielo.
47N||12||3||58810	Y conozco tal hombre, (si en el cuerpo, ó fuera del cuerpo, no [lo] sé: Dios [lo] sabe,)
47N||12||4||58820	Que fué arrebatado al paraiso, donde oyó palabras secretas que el hombre no puede decir.
47N||12||5||58830	De este tal me gloriaré: mas de mí mismo nada me gloriaré, sino en mis flaquezas.
47N||12||6||58840	Por lo cual si quisiere gloriarme, no seré insensato; porque diré verdad: empero [lo] dejo, porque nadie piense de mí mas de lo que en mí ve, ú oye de mí.
47N||12||7||58850	Y porque la grandeza de las revelaciones no me levante descomedidamente, me es dado un aguijon en mi carne, un mensajero de Satanás, que me abofetée, para que no me enaltezca sobremanera.
47N||12||8||58860	Por lo cual tres veces he rogado al Señor que se quite de mí.
47N||12||9||58870	Y me ha dicho: Bástate mi gracia; porque mi potencia en la flaqueza se perfecciona. Por tanto de buena gana me gloriaré más bien en mis flaquezas, porque habite en mí la potencia de Cristo. 
47N||12||10||58880	Por lo cual me gozo en las flaquezas, en afrentas, en necesidades, en persecuciones, en angustias por Cristo: porque cuando soy flaco, entónces soy poderoso. 
47N||12||11||58890	Héme hecho un necio en gloriarme: vosotros me constreñisteis; pues yo habia de ser alabado de vosotros: porque en nada he sido ménos que los sumos apóstoles, aunque soy nada. 
47N||12||12||58900	Con todo esto las señales de apóstol han sido hechas entre vosotros en toda paciencia, en señales, y en prodigios, y en maravillas. 
47N||12||13||58910	Porque ¿qué hay en que habeis sido ménos que las otras iglesias, sino en que yo mismo no os he sido carga? Perdonadme esta injuria. 
47N||12||14||58920	Hé aquí estoy aparejado para ir á vosotros la tercera vez, y no os seré gravoso; porque no busco vuestras cosas, sino á vosotros: porque no han de atesorar los hijos para los padres, sino los padres para los hijos. 
47N||12||15||58930	Empero yo de muy buena gana despenderé y seré despendido por vuestras almas, aunque amándoos más, sea amado ménos. 
47N||12||16||58940	Mas sea así, yo no os he agravado; sino que, como soy astuto, os he tomado por engaño. 
47N||12||17||58950	¿Acaso os he engañado por alguno de los que he enviado á vosotros? 
47N||12||18||58960	Rogué á Tito, y envié con [él] al hermano. ¿Os engañó quizá Tito? ¿no hemos procedido con el mismo espíritu, y por las mismas pisadas? 
47N||12||19||58970	¿Pensais aun que nos excusamos con vosotros? Delante de Dios, en Cristo hablamos: mas todo, muy amados, por vuestra edificacion. 
47N||12||20||58980	Porque temo que cuando llegare, no os halle tales como quiero, y yo sea hallado de vosotros cual no quereis; que [haya] entre vosotros contiendas, envidias, iras, disensiones, detracciones, murmuraciones, elaciones, bandos; 
47N||12||21||58990	Que cuando volviere, me humille Dios entre vosotros, y haya de llorar por muchos de los que ántes habrán pecado, y no se han arrepentido de la inmundicia, y fornicacion, y deshonestidad que han cometido.
47N||13||1||59000	ESTA tercera vez voy á vosotros. En la boca de dos ó de tres testigos consistirá todo negocio.
47N||13||2||59010	He dicho ántes, y ahora digo otra vez como presente; y ahora ausente lo escribo á los que ántes pecaron, y á todos los demás; que si voy otra vez, no perdonaré:
47N||13||3||59020	Pues buscais una prueba de Cristo que habla en mí, el cual no es flaco para con vosotros, ántes es poderoso en vosotros.
47N||13||4||59030	Porque aunque fué crucificado por flaqueza, empero vive por potencia de Dios. Pues tambien nosotros somos flacos con él, mas vivirémos con él por la potencia de Dios para con vosotros.
47N||13||5||59040	Examináos á vosotros mismos si estais en fé; probáos á vosotros mismos. ¿No os conoceis á vosotros mismos, que Jesu-Cristo está en vosotros? si ya no sois reprobados.
47N||13||6||59050	Mas espero que conoceréis que nosotros no somos reprobados.
47N||13||7||59060	Y oramos á Dios que ninguna cosa mala hagais; no para que nosotros seamos hallados aprobados, mas para que vosotros hagais lo que es bueno, aunque nosotros seamos como reprobados.
47N||13||8||59070	Porque ninguna cosa podemos contra la verdad, sino por la verdad.
47N||13||9||59080	Por lo cual nos gozamos que seamos nosotros flacos, y que vosotros esteis fuertes; y aun deseamos vuestra perfeccion. 
47N||13||10||59090	Por tanto [os] escribo esto ausente por no tratar presente con [más] dureza, conforme á la potestad que el Señor me ha dado para edificacion, y no para destruccion. 
47N||13||11||59100	Resta hermanos, que tengais gozo; seais perfectos, tengais consolacion, sintais una misma cosa, tengais paz; y el Dios de paz y de caridad será con vosotros. 
47N||13||12||59110	Saludáos los unos á los otros con ósculo santo. Todos los santos os saludan. 
47N||13||13||59120	La gracia del Señor Jesu-Cristo y el amor de Dios, y la participacion del Espíritu Santo sea con vosotros todos. Amen. {La segunda [epístola] á los Corintios fué enviada de Filipos de Macedonia con Tito y Lucas.}
48N||1||1||59130	PABLO apóstol, no de los hombres, ni por hombre, mas por Jesu-Cristo, y por Dios el Padre, que lo resucitó de los muertos,
48N||1||2||59140	Y todos los hermanos que están conmigo, á las iglesias de Galacia:
48N||1||3||59150	Gracia [sea] á vosotros, y paz de Dios el Padre, y de nuestro Señor Jesu-Cristo
48N||1||4||59160	El cual se dió á sí mismo por nuestros pecados para librarnos de este presente siglo malo, conforme á la voluntad de Dios y Padre nuestro;
48N||1||5||59170	Al cual [es] la gloria por siglos de siglos. Amen.
48N||1||6||59180	Estoy maravillado de que tan pronto os hayais traspasado del que os llamó á la gracia de Cristo, á otro evangelio;
48N||1||7||59190	No que hay otro, sino que hay algunos que os inquietan, y quieren pervertir el Evangelio de Cristo.
48N||1||8||59200	Mas aun si nosotros, ó un ángel del cielo os anunciare otro evangelio del que os hemos anunciado, sea anatema.
48N||1||9||59210	Como ántes hemos dicho, tambien ahora decimos otra vez: si alguno os anunciare otro evangelio del que habeis recibido, sea anatema. 
48N||1||10||59220	Porque ¿persuado yo ahora á hombres ó á Dios? ¿ó busco de agradar á hombres? Cierto que si todavia agradara á los hombres, no seria siervo de Cristo. 
48N||1||11||59230	Mas os hago saber, hermanos, que el Evangelio que [os] ha sido anunciado por mí, no es segun hombre. 
48N||1||12||59240	Pues ni yo lo recibí, ni [lo] aprendí de hombre, sino por revelacion de Jesu-Cristo. 
48N||1||13||59250	Porque ya habeis oido acerca de mi conducta otro tiempo en el Judaismo: que perseguia sobremanera la iglesia de Dios, y la destruia; 
48N||1||14||59260	Y aprovechaba en el Judaismo sobre muchos de mis iguales en mi nacion, siendo muy más celador [que todos] de las tradiciones de mis padres. 
48N||1||15||59270	Mas cuando plugo á Dios, que me apartó desde el vientre de mi madre, y [me] llamó por su gracia, 
48N||1||16||59280	Revelar á su Hijo en mí, para que le predicase entre los Gentiles, luego no conferí con carne y sangre; 
48N||1||17||59290	Ni fuí á Jerusalem á los que eran apóstoles ántes que yo; sino que me fuí á la Arabia, y volví de nuevo á Damasco. 
48N||1||18||59300	Despues, pasados tres años, fuí á Jerusalem á ver á Pedro, y estuve con el quince dias. 
48N||1||19||59310	Mas á ningun otro de los apóstoles ví, sino á Jacobo el hermano del Señor. 
48N||1||20||59320	Y [en] esto que os escribo, hé aquí delante de Dios, no miento. 
48N||1||21||59330	Despues fuí á las partes de Siria y de Cilicia. 
48N||1||22||59340	Y no era conocido de vista á las iglesias de Judéa, que eran en Cristo. 
48N||1||23||59350	Solamente habian oido [acerca de mí:] Aquel que en otro tiempo nos perseguia, ahora anuncia la fe que en otro tiempo destruia. 
48N||1||24||59360	Y glorificaban á Dios en mí.
48N||2||1||59370	DESPUES, pasados catorce años, fuí otra vez á Jerusalem juntamente con Bernabé, tomando tambien conmigo á Tito.
48N||2||2||59380	Empero fuí por revelacion, y comuniquéles el Evangelio que predico entre los Gentiles; mas particularmente á los que parecian ser algo, por no correr en vano, ó haber corrido.
48N||2||3||59390	Mas ni aun Tito, que estaba conmigo, siendo Griego, fué compelido á circuncidarse:
48N||2||4||59400	Y [eso] por causa de los falsos hermanos, que se entraban secretamente para espiar nuestra libertad que tenemos en Cristo Jesus, para ponernos en servidumbre;
48N||2||5||59410	A los cuales ni aun por una hora cedimos sujetándonos, para que la verdad del Evangelio permaneciese con vosotros.
48N||2||6||59420	Empero de aquellos que parecian ser algo, (cuales hayan sido algun tiempo, no tengo que ver; Dios no acepta apariencia de hombre;) á mí ciertamente los que parecian [ser] algo, nada me dieron.
48N||2||7||59430	Antes por el contrario, como vieron que el Evangelio de la incircuncision me era encargado, como á Pedro el de la circuncision,
48N||2||8||59440	(Porque el que hizo por Pedro para el apostolado de la circuncision, hizo tambien por mí para con los Gentiles.)
48N||2||9||59450	Y como vieron la gracia que me era dada, Jacobo, y Cephas, y Juan, que parecian ser las columnas, nos dieron las diestras de compañía á mí y á Bernabé, para que nosotros [predicásemos] á los Gentiles, y ellos á la circuncision. 
48N||2||10||59460	Solamente [nos pidieron] que nos acordásemos de los pobres; lo mismo que fuí tambien solícito en hacer. 
48N||2||11||59470	Empero viniendo Pedro á Antioquia, le resistí en la cara, porque era de condenar. 
48N||2||12||59480	Porque ántes que viniesen unos [de parte] de Jacobo, comia con los Gentiles; mas despues que vinieron, se retraia y apartaba teniendo miedo de los que eran de la circuncision. 
48N||2||13||59490	Y á su disimulacion consentian tambien los otros Judíos; de tal manera que aun Bernabé fué tambien llevado [de ellos] en su simulacion. 
48N||2||14||59500	Mas cuando ví que no andaban derechamente conforme á la verdad del Evangelio, dije á Pedro delante de todos: Si tú, siendo Judío, vives como los Gentiles y no como Judío, ¿por qué constriñes á los Gentiles á judaizar? 
48N||2||15||59510	Nosotros Judíos naturales, y no pecadores de los Gentiles, 
48N||2||16||59520	Sabiendo que el hombre no es justificado por las obras de la ley, sino por la fé de Jesu-Cristo, nosotros tambien hemos creido en Jesu-Cristo, para que fuésemos justificados por la fé de Cristo, y no por las obras de la ley; por cuanto por las obras de la
48N||2||17||59530	Y si buscando nosotros ser justificados en Cristo, tambien nosotros somos hallados pecadores, ¿[es] por eso Cristo ministro de pecado? En ninguna manera. 
48N||2||18||59540	Porque si las cosas que destruí, las mismas vuelvo á edificar, transgresor me hago. 
48N||2||19||59550	Porque yo por la ley soy muerto á la ley, para vivir á Dios. 
48N||2||20||59560	Con Cristo estoy juntamente crucificado, y vivo; no ya yo, mas vive Cristo en mí; y lo que ahora vivo en la carne, [lo] vivo en la fé del Hijo de Dios, el cual me amó, y se entrego á sí mismo por mí. 
48N||2||21||59570	No desecho la gracia de Dios. Porque si por la ley fuese la justicia, entónces por demás murió Cristo.
48N||3||1||59580	OH Gálatas insensatos! ¿quién os fascinó, para no obedecer á la verdad, ante cuyos ojos Jesu-Cristo fué ya descrito [como] crucificado entre vosotros?
48N||3||2||59590	Esto solo quiero saber de vosotros: ¿Recibisteis el Espíritu por las obras de la ley, ó por el oir de la fé?
48N||3||3||59600	¿Tan necios sois? ¿Habiendo comenzado por el Espíritu, ahora os perfeccionais por la carne?
48N||3||4||59610	¿Tantas cosas habeis padecido en vano? si empero en vano.
48N||3||5||59620	Aquel, pues, que os daba el Espíritu; y obraba maravillas entre vosotros, ¿[hacíalo] por las obras de la ley, ó por el oir de la fé?
48N||3||6||59630	Como Abraham creyó á Dios, y le fué imputado á justicia.
48N||3||7||59640	Sabeis por tanto que los que son de fé, los tales son hijos de Abraham.
48N||3||8||59650	Y viendo ántes la escritura, que Dios por la fé habia de justificar los Gentiles, evangelizó ántes á Abraham, [diciendo:] En tí serán benditas todas las naciones.
48N||3||9||59660	Luego los de la fé son [los] benditos con el creyente Abraham. 
48N||3||10||59670	Porque todos los que son de las obras de la ley, están bajo de maldicion. Porque escrito está: Maldito todo aquel que no permaneciere en todas las cosas que están escritas en el libro de la ley para hacerlas. 
48N||3||11||59680	Mas por cuanto por la ley ninguno se justifica para con Dios, queda manifiesto: Que el justo por la fé vivirá. 
48N||3||12||59690	La ley tambien no es de la fé, sino: El hombre que los hiciere, vivirá en ellos. 
48N||3||13||59700	Cristo nos redimió de la maldicion de la ley, hecho por nosotros maldicion; (porque está escrito: Maldito cualquiera que es colgado en madero:) 
48N||3||14||59710	Para que la bendicion de Abraham fuese sobre los Gentiles en Cristo Jesus; para que por la fé recibamos la promesa del Espíritu. 
48N||3||15||59720	Hermanos, hablo como hombre: Aunque un pacto [sea] de hombre, con todo [siendo] confirmado, nadie [lo] cancela, ó le añade. 
48N||3||16||59730	A Abraham fueron hechas las promesas, y á su simiente. No dice: Y á las simientes, como de muchos, sino como de uno. Y á tu simiente, la cual es Cristo. 
48N||3||17||59740	Esto pues digo: Que el contrato confirmado de Dios para con Cristo, la ley que fué hecha cuatrocientos y treinta años despues, no lo abroga, para invalidar la promesa. 
48N||3||18||59750	Porque si la herencia es por la ley, ya no [será] por la promesa; empero Dios por la promesa hizo la donacion á Abraham. 
48N||3||19||59760	¿Pues de qué [sirve] la ley? Fué puesta por causa de las rebeliones, hasta que viniese la simiente á quien fué hecha la promesa; ordenada [aquella] por los ángeles en la mano de un mediador. 
48N||3||20||59770	Y el mediador no es de uno, pero Dios es uno. 
48N||3||21||59780	Luego ¿la ley [es] contra las promesas de Dios? En ninguna manera: porque si la ley dada pudiera vivificar, la justicia fuera verdaderamente por la ley. 
48N||3||22||59790	Mas encerró la escritura todo debajo de pecado, para que la promesa fuese dada á los creyentes por la fé de Jesu-Cristo. 
48N||3||23||59800	Empero ántes que viniese la fé estábamos guardados debajo de la ley, encerrados para aquella fé que habia de ser descubierta. 
48N||3||24||59810	De manera que la ley nuestro ayo fué para [llevarnos] á Cristo, para que fuésemos justificados por la fé. 
48N||3||25||59820	Mas venida la fé, ya no estamos debajo del ayo. 
48N||3||26||59830	Porque todos sois hijos de Dios por la fé en Cristo Jesus. 
48N||3||27||59840	Porque todos los que habeis sido bautizados en Cristo, de Cristo estais vestidos. 
48N||3||28||59850	No hay Judío, ni Griego; no hay siervo, ni libre; no hay varon, ni hembra: porque todos vosotros sois uno en Cristo Jesus. 
48N||3||29||59860	Y si vosotros [sois] de Cristo, ciertamente la simiente de Abraham sois, y conforme á la promesa los herederos.
48N||4||1||59870	TAMBIEN digo: Entretanto que el heredero es niño, en nada difiere del siervo, aunque es señor de todo;
48N||4||2||59880	Mas está debajo de tutores y curadores hasta el tiempo señalado por el padre.
48N||4||3||59890	Así tambien nosotros, cuando éramos niños, eramos siervos bajo los rudimentos del mundo.
48N||4||4||59900	Mas venido el cumplimiento del tiempo, Dios envió su Hijo, hecho de mujer, hecho súbdito á la ley,
48N||4||5||59910	Para que redimiese los que estaban debajo de la ley, á fin que recibiésemos la adopcion de hijos.
48N||4||6||59920	Y por cuanto sois hijos, Dios envió el Espíritu de su Hijo en vuestros corazones^, el cual clama: Abba, Padre:
48N||4||7||59930	Así que ya no eres más siervo, sino hijo; y si hijo, tambien heredero de Dios por Cristo.
48N||4||8||59940	Antes, en otro tiempo, no conociendo á Dios, serviais á los que por naturaleza no son dioses:
48N||4||9||59950	Mas ahora habiendo conocido á Dios, ó mas bien, siendo conocidos de Dios, ¿cómo os volveis de nuevo á los flacos y pobres rudimentos, en los cuales quereis volver á servir, 
48N||4||10||59960	Guardais los dias, y los meses, y los tiempos, y los años. 
48N||4||11||59970	Temo de vosotros, que no haya trabajado en vano en vosotros. 
48N||4||12||59980	Hermanos, os ruego, sed como yo, porque yo [soy] como vosotros: ningun agravio me habeis hecho. 
48N||4||13||59990	Que vosotros sabeis que por flaqueza de carne os anuncié el Evangelio al principio: 
48N||4||14||60000	Y no desechasteis ni menospreciasteis mi tentacion que [estaba] en mi carne ántes me recibisteis como á un ángel de Dios, como á Cristo Jesus. 
48N||4||15||60010	¿Dónde esta, pues, vuestra bienaventuranza? porque yo os doy testimonio, que si se pudiera [hacer,] os hubierais sacado vuestros ojos para dármelos. 
48N||4||16||60020	¿Heme pues hecho vuestro enemigo, diciéndoos la verdad? 
48N||4||17||60030	Tienen celos de vosotros, [pero] no bien: ántes, os quieren echar fuera para que vosotros los celeis á ellos. 
48N||4||18||60040	Bueno [es] ser celosos en bien siempre; y no solamente cuando estoy presente con vosotros. 
48N||4||19||60050	Hijitos mios, que vuelvo otra vez á estar de parto de vosotros, hasta que Cristo sea formado en vosotros, 
48N||4||20||60060	Querria cierto estar ahora con vosotros, y mudar mi voz; porque estoy perplejo en cuanto á vosotros. 
48N||4||21||60070	Decidme, los que quereis estar debajo de la ley, ¿no habeis oido la ley? 
